Blue Cinema Hall
A|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22
B|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22
C|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22
D|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22
E|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22
F|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22
G|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22
H|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22
I|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22
K|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22
L|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22
M|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22
N|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22
